dtm,logx
4/5/2016,5.076535388
5/5/2016,4.966606775
6/5/2016,4.998279272
7/5/2016,4.938702391
8/5/2016,4.993116058
9/5/2016,5.082918746
10/5/2016,5.157519638
11/5/2016,5.178209756
12/5/2016,5.05544931
13/5/2016,5.038231006
14/5/2016,4.998144272
15/5/2016,5.034384372
16/5/2016,5.059774604
17/5/2016,4.961080838
18/5/2016,5.012912699
19/5/2016,4.95802183
20/5/2016,5.035737579
21/5/2016,5.05267255
22/5/2016,5.183170229
23/5/2016,5.159738974
24/5/2016,5.026948179
25/5/2016,5.025169164
26/5/2016,5.011108515
27/5/2016,5.075230064
28/5/2016,5.103658011
29/5/2016,4.992803923
30/5/2016,5.048316361
31/5/2016,4.986991298
1/6/2016,5.033902501
2/6/2016,5.092012496
3/6/2016,5.176471715
4/6/2016,5.192573444
5/6/2016,5.046266238
6/6/2016,5.044637285
7/6/2016,5.030666653
8/6/2016,5.133607804
9/6/2016,5.185199059
10/6/2016,5.056029221
11/6/2016,5.102709942
12/6/2016,5.03348556
13/6/2016,5.060466186
14/6/2016,5.157179979
15/6/2016,5.229454844
16/6/2016,5.22917627
17/6/2016,5.107380807
18/6/2016,5.099921304
19/6/2016,5.131943959
20/6/2016,5.21571806
21/6/2016,5.281501774
22/6/2016,5.093437268
23/6/2016,5.132481176
24/6/2016,5.056990751
25/6/2016,5.133419138
26/6/2016,5.198668287
27/6/2016,5.29414869
28/6/2016,5.279964987
29/6/2016,5.173309545
30/6/2016,5.115865801
1/7/2016,5.120314471
2/7/2016,5.218131732
3/7/2016,5.288812337
4/7/2016,5.157594463
5/7/2016,5.15595279
6/7/2016,5.075255062
7/7/2016,5.167918206
8/7/2016,5.239548834
9/7/2016,5.312944861
10/7/2016,5.331070092
11/7/2016,5.224681591
12/7/2016,5.170557856
13/7/2016,5.172691783
14/7/2016,5.258042098
15/7/2016,5.347045624
16/7/2016,5.228897618
17/7/2016,5.210327329
18/7/2016,5.13732668
19/7/2016,5.184078667
20/7/2016,5.230980266
21/7/2016,5.310848523
22/7/2016,5.323502541
23/7/2016,5.1983589
24/7/2016,5.192695706
25/7/2016,5.18049058
26/7/2016,5.241588272
27/7/2016,5.299796272
28/7/2016,5.241540645
29/7/2016,5.235084659
30/7/2016,5.129999302
31/7/2016,5.170858925
1/8/2016,5.245696876
2/8/2016,5.380164599
3/8/2016,5.373559338
4/8/2016,5.255921217
5/8/2016,5.186049718
6/8/2016,5.186105657
7/8/2016,5.277343954
8/8/2016,5.331549027
9/8/2016,5.19217877
10/8/2016,5.224853802
11/8/2016,5.152372097
12/8/2016,5.182564144
13/8/2016,5.313309422
14/8/2016,5.396600396
15/8/2016,5.350145768
16/8/2016,5.231381307
17/8/2016,5.201575162
18/8/2016,5.169301478
19/8/2016,5.27722651
20/8/2016,5.345649325
21/8/2016,5.195985593
22/8/2016,5.236271736
23/8/2016,5.152580359
24/8/2016,5.178857927
25/8/2016,5.228147016
26/8/2016,5.351218118
27/8/2016,5.327351759
28/8/2016,5.197806185
29/8/2016,5.15428532
30/8/2016,5.156748042
31/8/2016,5.220128772
1/9/2016,5.277456279
2/9/2016,5.151700734
3/9/2016,5.20822306
4/9/2016,5.139726008
5/9/2016,5.163213309
6/9/2016,5.25419305
7/9/2016,5.395657303
8/9/2016,5.438918087
9/9/2016,5.27718055
10/9/2016,5.210234507
11/9/2016,5.210420143
12/9/2016,5.359200778
13/9/2016,5.379547062
14/9/2016,5.246023572
15/9/2016,5.300250497
16/9/2016,5.200599791
17/9/2016,5.26035586
18/9/2016,5.346950376
19/9/2016,5.400539964
20/9/2016,5.436042453
21/9/2016,5.275105033
22/9/2016,5.253016607
23/9/2016,5.250187484
24/9/2016,5.299476694
25/9/2016,5.429994541
26/9/2016,5.290728645
27/9/2016,5.274280789
28/9/2016,5.221290523
29/9/2016,5.283827899
30/9/2016,5.326331287
1/10/2016,5.424967638
2/10/2016,5.421799686
3/10/2016,5.311786252
4/10/2016,5.272973917
5/10/2016,5.26086988
6/10/2016,5.391306673
7/10/2016,5.383398131
8/10/2016,5.260522037
9/10/2016,5.283787315
10/10/2016,5.227733945
11/10/2016,5.286482611
12/10/2016,5.372190311
13/10/2016,5.492872125
14/10/2016,5.417885475
15/10/2016,5.332259751
16/10/2016,5.28806499
17/10/2016,5.281445839
18/10/2016,5.364980192
19/10/2016,5.407355611
20/10/2016,5.269305565
21/10/2016,5.308911055
22/10/2016,5.245928736
23/10/2016,5.329849948
24/10/2016,5.420127837
25/10/2016,5.514218757
26/10/2016,5.512948792
27/10/2016,5.362329187
28/10/2016,5.314264532
29/10/2016,5.300709503
30/10/2016,5.396967417
31/10/2016,5.473060278
1/11/2016,5.380740316
2/11/2016,5.367348904
3/11/2016,5.279628818
4/11/2016,5.34091698
5/11/2016,5.451321675
6/11/2016,5.551959085
7/11/2016,5.59072202
8/11/2016,5.395407779
9/11/2016,5.350976228
10/11/2016,5.34622619
11/11/2016,5.45098695
12/11/2016,5.508440519
13/11/2016,5.454393335
14/11/2016,5.488714561
15/11/2016,5.406584155
16/11/2016,5.458840556
17/11/2016,5.525130178
18/11/2016,5.611148045
19/11/2016,5.618297205
20/11/2016,5.492213347
21/11/2016,5.462428278
22/11/2016,5.456388921
23/11/2016,5.614761808
24/11/2016,5.54199661
25/11/2016,5.435898672
26/11/2016,5.500282224
27/11/2016,5.437078809
28/11/2016,5.488003406
29/11/2016,5.594681639
30/11/2016,5.661041974
1/12/2016,5.672136997
2/12/2016,5.554342349
3/12/2016,5.498691654
4/12/2016,5.443464781
5/12/2016,5.544278603
6/12/2016,5.595506602
7/12/2016,5.430616751
8/12/2016,5.482973696
9/12/2016,5.428463661
10/12/2016,5.540765382
11/12/2016,5.595079342
12/12/2016,5.685781424
13/12/2016,5.677298175
14/12/2016,5.545282908
15/12/2016,5.502799879
16/12/2016,5.487535918
17/12/2016,5.537684599
18/12/2016,5.590139607
19/12/2016,5.47861187
20/12/2016,5.512351553
21/12/2016,5.452779426
22/12/2016,5.490638758
23/12/2016,5.564815383
24/12/2016,5.682276197
25/12/2016,5.641648172
26/12/2016,5.560393128
27/12/2016,5.50123372
28/12/2016,5.497831939
29/12/2016,5.588532478
30/12/2016,5.602196309
31/12/2016,5.513489228
1/1/2017,5.565470148
2/1/2017,5.458286799
3/1/2017,5.498503399
4/1/2017,5.618079332
5/1/2017,5.743724082
6/1/2017,5.741238812
7/1/2017,5.576070308
8/1/2017,5.523670475
9/1/2017,5.529833768
10/1/2017,5.6064085
11/1/2017,5.669080603
12/1/2017,5.518143421
13/1/2017,5.552951833
14/1/2017,5.483289574
15/1/2017,5.532381075
16/1/2017,5.684130636
17/1/2017,5.740618937
18/1/2017,5.728816492
19/1/2017,5.584480786
20/1/2017,5.54723782
21/1/2017,5.528905141
22/1/2017,5.596642599
23/1/2017,5.63397856
24/1/2017,5.5306466
25/1/2017,5.565833721
26/1/2017,5.500180079
27/1/2017,5.577039418
28/1/2017,5.656893502
29/1/2017,5.800352467
30/1/2017,5.845802735
31/1/2017,5.626091167
1/2/2017,5.575865766
2/2/2017,5.56635015
3/2/2017,5.654431153
4/2/2017,5.693472846
5/2/2017,5.600955783
6/2/2017,5.616840186
7/2/2017,5.527892193
8/2/2017,5.642849889
9/2/2017,5.712798376
10/2/2017,5.792122968
11/2/2017,5.796926674
12/2/2017,5.645980324
13/2/2017,5.603763225
14/2/2017,5.595164808
15/2/2017,5.649854133
16/2/2017,5.70569398
17/2/2017,5.553467208
18/2/2017,5.606750146
19/2/2017,5.554059755
20/2/2017,5.609156727
21/2/2017,5.700751218
22/2/2017,5.842140533
23/2/2017,5.807839141
24/2/2017,5.707299616
25/2/2017,5.652387421
26/2/2017,5.602565216
27/2/2017,5.691561434
28/2/2017,5.687856324
1/3/2017,5.562948291
2/3/2017,5.659057038
3/3/2017,5.565401245
4/3/2017,5.702581754
5/3/2017,5.795762874
6/3/2017,5.891467401
7/3/2017,5.878760467
8/3/2017,5.76495283
9/3/2017,5.650543429
10/3/2017,5.587757892
11/3/2017,5.697046506
12/3/2017,5.755153433
13/3/2017,5.616116338
14/3/2017,5.697579945
15/3/2017,5.637354169
16/3/2017,5.704109088
17/3/2017,5.795826721
18/3/2017,5.931018972
19/3/2017,5.897239029
20/3/2017,5.72200215
21/3/2017,5.648745339
22/3/2017,5.602473002
23/3/2017,5.687565013
24/3/2017,5.792995316
25/3/2017,5.684154432
26/3/2017,5.709035321
27/3/2017,5.654515197
28/3/2017,5.777509898
29/3/2017,5.826159387
30/3/2017,5.876412778
31/3/2017,5.909899223
1/4/2017,5.744434855
2/4/2017,5.66798948
3/4/2017,5.651330615
4/4/2017,5.765225585
5/4/2017,5.806618807
6/4/2017,5.645234861
7/4/2017,5.706136369
8/4/2017,5.627905246
9/4/2017,5.705421131
10/4/2017,5.792080246
11/4/2017,5.879454192
12/4/2017,5.91494251
13/4/2017,5.72661645
14/4/2017,5.686073255
15/4/2017,5.630975195
16/4/2017,5.721936685
17/4/2017,5.768136604
18/4/2017,5.641289859
19/4/2017,5.712243248
20/4/2017,5.669356648
21/4/2017,5.729044031
22/4/2017,5.831949924
23/4/2017,5.944220936
24/4/2017,5.925821416
25/4/2017,5.802960921
26/4/2017,5.727039912
27/4/2017,5.691338704
28/4/2017,5.783314283
29/4/2017,5.834778573
30/4/2017,5.701276003
1/5/2017,5.718069921
2/5/2017,5.6551383
3/5/2017,5.728621418
4/5/2017,5.795127227
5/5/2017,5.925314061
6/5/2017,5.944938817
7/5/2017,5.778073287
8/5/2017,5.726003743
9/5/2017,5.696647078
10/5/2017,5.804170649
11/5/2017,5.848015566
12/5/2017,5.750284308
13/5/2017,5.732732677
14/5/2017,5.671810095
15/5/2017,5.791121576
16/5/2017,5.843790763
17/5/2017,5.933125437
18/5/2017,5.909275162
19/5/2017,5.815985527
20/5/2017,5.744444456
21/5/2017,5.710761399
22/5/2017,5.834658679
23/5/2017,5.838083155
24/5/2017,5.698769933
25/5/2017,5.760345526
26/5/2017,5.668369436
27/5/2017,5.752769445
28/5/2017,5.896252363
29/5/2017,5.997133448
30/5/2017,6.003741377
31/5/2017,5.858555818
1/6/2017,5.757000915
2/6/2017,5.723960848
3/6/2017,5.852492668
4/6/2017,5.795017696
5/6/2017,5.72793185
6/6/2017,5.764344349
7/6/2017,5.696616863
8/6/2017,5.800957581
9/6/2017,5.897867898
10/6/2017,6.017183462
11/6/2017,6.010686123
12/6/2017,5.805300618
13/6/2017,5.77320592
14/6/2017,5.733855708
15/6/2017,5.817953067
16/6/2017,5.867971176
17/6/2017,5.778364144
18/6/2017,5.769791789
19/6/2017,5.714158457
20/6/2017,5.799707617
21/6/2017,5.893727675
22/6/2017,5.97438451
23/6/2017,6.044524156
24/6/2017,5.873227033
25/6/2017,5.806985665
26/6/2017,5.749720958
27/6/2017,5.847276574
28/6/2017,5.894397325
29/6/2017,5.784151283
30/6/2017,5.782686072
1/7/2017,5.723143828
2/7/2017,5.784578744
3/7/2017,5.921870602
4/7/2017,5.998688392
5/7/2017,5.963545924
6/7/2017,5.823211562
7/7/2017,5.763770031
8/7/2017,5.736720674
9/7/2017,5.840345102
10/7/2017,5.871968483
11/7/2017,5.706581886
12/7/2017,5.738322378
13/7/2017,5.668106937
14/7/2017,5.740602873
15/7/2017,5.851049517
16/7/2017,5.920191399
17/7/2017,5.943221858
18/7/2017,5.791014661
19/7/2017,5.726818431
20/7/2017,5.692337227
21/7/2017,5.859249431
22/7/2017,5.8872173
23/7/2017,5.765203642
24/7/2017,5.741723523
25/7/2017,5.660453869
26/7/2017,5.793647554
27/7/2017,5.929855065
28/7/2017,6.016088865
29/7/2017,6.013130633
30/7/2017,5.843729907
31/7/2017,5.727023628
